level0;level1;level2;level3;level4;itemname;itemid;inventlocationid;date;qty20;forecast20;qty19
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;04_ням;25.11.2020 0:00;0;55,94084055;40
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;04_ням;26.11.2020 0:00;57;48,99735086;16
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;04_ням;27.11.2020 0:00;75;59,54071979;52
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;04_ням;28.11.2020 0:00;72;60,20986363;31
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;04_ням;29.11.2020 0:00;72;59,29960666;58
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;04_ням;30.11.2020 0:00;72;56,13917369;57
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;04_ням;01.12.2020 0:00;66;57,09663064;56
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;04_ням;02.12.2020 0:00;60;62,29120491;50
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;04_ням;03.12.2020 0:00;83;61,91673401;46
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;04_ням;04.12.2020 0:00;74;76,63514661;56
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;04_ням;05.12.2020 0:00;56;82,75860523;67
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;04_ням;06.12.2020 0:00;60;75,1753632;60
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;04_ням;07.12.2020 0:00;48;66,09330008;72
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;04_ням;08.12.2020 0:00;45;64,55547035;68
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;04_ням;09.12.2020 0:00;0;67,54931465;46
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;04_ням;10.12.2020 0:00;0;64,44251812;48
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;04_ням;11.12.2020 0:00;0;78,96518252;40
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;04_ням;12.12.2020 0:00;0;81,62114991;68
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;04_ням;13.12.2020 0:00;0;74,21649753;76
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;04_ням;14.12.2020 0:00;0;64,57457627;67
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;04_ням;15.12.2020 0:00;0;64,56919081;42
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;04_ням;16.12.2020 0:00;0;67,56367098;27
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;04_ням;17.12.2020 0:00;0;64,45621375;36
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;04_ням;18.12.2020 0:00;0;78,98196406;25
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;04_ням;19.12.2020 0:00;0;81,63849537;27
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;04_ням;20.12.2020 0:00;0;74,23226893;34
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;04_ням;21.12.2020 0:00;0;64,58829829;22
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;04_ням;22.12.2020 0:00;0;64,58291128;32
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;04_ням;23.12.2020 0:00;0;71,33525521;27
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;04_ням;24.12.2020 0:00;0;75,53994957;23
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;04_ням;25.12.2020 0:00;0;86,51903636;27
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;04_ням;26.12.2020 0:00;0;95,46183789;43
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;04_ням;27.12.2020 0:00;0;108,9735833;59
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;04_ням;28.12.2020 0:00;0;108,972429;72
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;25.11.2020 0:00;0;65,83740043;111
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;26.11.2020 0:00;34;42,80255489;75
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;27.11.2020 0:00;65;45,22777578;47
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;28.11.2020 0:00;36;38,9029909;104
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;29.11.2020 0:00;60;43,71189392;75
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;30.11.2020 0:00;37;46,32113925;85
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;01.12.2020 0:00;56;45,43815421;82
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;02.12.2020 0:00;59;47,96020136;83
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;03.12.2020 0:00;38;44,70412239;60
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;04.12.2020 0:00;53;49,90787845;71
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;05.12.2020 0:00;60;41,87641191;77
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;06.12.2020 0:00;53;46,39157564;62
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;07.12.2020 0:00;62;52,23584854;80
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;08.12.2020 0:00;64;52,8579454;75
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;09.12.2020 0:00;0;55,20569456;88
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;10.12.2020 0:00;0;52,33241993;85
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;11.12.2020 0:00;0;56,8772935;91
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;12.12.2020 0:00;0;47,46648994;85
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;13.12.2020 0:00;0;52,55655936;66
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;14.12.2020 0:00;0;53,73464751;74
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;15.12.2020 0:00;0;52,7947607;70
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;16.12.2020 0:00;0;55,13969217;69
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;17.12.2020 0:00;0;52,26984206;79
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;18.12.2020 0:00;0;56,80926935;67
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;19.12.2020 0:00;0;47,40971123;106
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;20.12.2020 0:00;0;52,49368124;61
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;21.12.2020 0:00;0;53,67034896;105
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;22.12.2020 0:00;0;52,73157601;81
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;23.12.2020 0:00;0;52,86549793;90
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;24.12.2020 0:00;0;47,66401668;76
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;25.12.2020 0:00;0;54,5915746;79
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;26.12.2020 0:00;0;60,23428211;55
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;27.12.2020 0:00;0;68,75989093;47
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;28.12.2020 0:00;0;68,75916255;58
